"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Dominican Republic"," Data source"," Spirits","2.31","2.34","2.33","2.43","2.48","2.50","2.61"
"Dominican Republic"," Data source"," Other alcoholic beverages","0.08","0.07","0.06","0.07","0.07","0.07","0.07"
"Ecuador"," Data source"," All types","3.17","3.67","3.80","3.78","3.92","4.00","3.96"
"Ecuador"," Data source"," Beer","2.53","3.00","3.00","2.96","2.88","2.78","2.68"
"Ecuador"," Data source"," Wine","0.05","0.05","0.06","0.05","0.06","0.05","0.05"
"Ecuador"," Data source"," Spirits","0.56","0.60","0.72","0.75","0.96","1.15","1.21"
"Ecuador"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Egypt"," Data source"," All types","0.18","0.18","0.20","0.20","0.20","0.20","0.21"
"Egypt"," Data source"," Beer","0.11","0.11","0.11","0.11","0.11","0.11","0.11"
"Egypt"," Data source"," Wine","0.01","0.01","0.02","0.02","0.02","0.02","0.02"
"Egypt"," Data source"," Spirits","0.06","0.06","0.07","0.06","0.07","0.06","0.07"
"Egypt"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"El Salvador"," Data source"," All types","2.68","2.57","2.47","2.36","2.42","2.31","2.29"
"El Salvador"," Data source"," Beer","1.28","1.17","1.08","1.05","1.01","0.94","0.92"
"El Salvador"," Data source"," Wine","0.04","0.04","0.04","0.04","0.03","0.04","0.04"
"El Salvador"," Data source"," Spirits","1.36","1.35","1.35","1.27","1.38","1.33","1.33"
"El Salvador"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Equatorial Guinea"," Data source"," All types","","9.85","10.23","10.16","11.65","10.78","9.76"
"Equatorial Guinea"," Data source"," Beer","","8.17","8.39","8.67","7.82","7.21","6.05"
"Equatorial Guinea"," Data source"," Wine","","1.68","1.85","1.49","3.83","3.56","3.71"
"Equatorial Guinea"," Data source"," Spirits","","0","0","0","0","0","0"
